author,comment,time,votes,clean,clean_nostop
@pulsesz1953,Trump  baby 🤣🤣🤣🤣,1 year ago,0,trump baby,trump baby
@Blankfanta0,"""They way he said oh my nigga mark you are still the same"".  (Fyi im black so yeh)",1 year ago,0,they way he said oh my nigga mark you are still the same fyi im black so yeh,way said oh nigga mark still fyi im black yeh
@ntanganedzenimmaphaha,"2024

Earth is smelling 🤣🤣",1 year ago,1,2024 earth is smelling,2024 earth smelling
@SmiLyGaGaNaaNdCraZyNuShNa,yes,1 year ago,0,yes,yes
@MrsoeMyint-b1s,Lol 😂 i’m still watching 2024😂,1 year ago,0,lol i m still watching 2024,lol still watching 2024
@CTFB_KAB260X,"""Oh my nigga mark"" Nah Denilson you good?",1 year ago,0,oh my nigga mark nah denilson you good,oh nigga mark nah denilson good
@Angela18062,I'm here😂😂,1 year ago,0,i'm here,
@michaelmonter4050,Im watching right now,1 year ago,0,im watching right now,im watching right
@Fcmobile-m8v,😂😂😂😂😂😂😂😂😂😂😂😂,1 year ago,0,,
@thekingdomprayerlifewithkelly,Am going to call the popo😂😂😂😂😂,1 year ago,0,am going to call the popo,going call popo
@ayubmuriuki8486,🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪 2024 little emmanuella 😂😂😂 now the big girl,1 year ago,0,2024 little emmanuella now the big girl,2024 little emmanuella big girl
@alphansogeorgedivinekalama2369,"That's me right there 😅,
The story is disheartening",1 year ago,1,that's me right there the story is disheartening,that's right story disheartening
@fashmovies247,me oh,1 year ago,1,me oh,oh
@EtukokwuIfechukwu,Me too,1 year ago,1,me too,
@UjunwafavourGodwin,Me oo😢,1 year ago,0,me oo,oo
@Rougevestore," @alphansogeorgedivinekalama2369  There are always 2 sides to a story.
There might be spme truths about all he said, but the other party may also have some hidden truths aswell.",1 year ago,0,alphansogeorgedivinekalama2369 there are always 2 sides to a story there might be spme truths about all he said but the other party may also have some hidden truths aswell,alphansogeorgedivinekalama2369 always sides story might spme truths said party may also hidden truths aswell
@francisakpa2706,Denilson is mad oooooo,1 year ago,0,denilson is mad oooooo,denilson mad oooooo
@victorstrange23,Still blasting in 2024,1 year ago,1,still blasting in 2024,still blasting 2024
@mr.patrick250,😂😂😂😂,1 year ago,0,,
@BettyGomez-qd9tg,Me,1 year ago,0,me,
@dreamers2361,😂😂😂 my nigga Mark,1 year ago,0,my nigga mark,nigga mark
@IshaSagnia,"Let’s give a round of applause to Mark Angel for making us laugh, and whenever was sad, he always makes us happy. Let’s give him a big round of applause, ladies and gentlemen.❤❤❤❤❤❤❤❤😂😂😂😂",1 year ago,0,let s give a round of applause to mark angel for making us laugh and whenever was sad he always makes us happy let s give him a big round of applause ladies and gentlemen,let give round applause mark angel making us laugh whenever sad always makes us happy let give big round applause ladies gentlemen
@sylvestermogire7134,2024 anyone??🌹🌹🌹,1 year ago,1,2024 anyone,2024 anyone
@HaKhuiShingg,2024💗💗,1 year ago,0,2024,2024
@nega_the0,anyone here in 2024? ✨,1 year ago,0,anyone here in 2024,anyone 2024
@Alphachad.913,2024 😂😂😂 still laughing,1 year ago,0,2024 still laughing,2024 still laughing
@roseaihimegbe,😅😅,1 year ago,0,,
@iwantviewss,2024?,1 year ago,1,2024,2024
@elizabetholuwatoyinaiyedog3171,I mount new shows now,1 year ago,0,i mount new shows now,mount new shows
@egg3171,Anyone here 2024??? 😂😂😂😂😂😂,1 year ago,3,anyone here 2024,anyone 2024
@Muss-rc9gx,Hi😢😢😢😢😢😢kkkkkk,1 year ago,0,hikkkkkk,hikkkkkk
@KanjimongKanjimong,It's 2024 ohh 😂😂,1 year ago,1,it's 2024 ohh,2024 ohh
@okeykid780okea9,He said my nigga😂😂😂,1 year ago,0,he said my nigga,said nigga
@yjfgcg25,Oh my n gga mark lol,1 year ago,0,oh my n gga mark lol,oh gga mark lol
@okuhmchile,Is anyone from 2030??,1 year ago,0,is anyone from 2030,anyone 2030
@DiyaPrithviraj,Skip 2020 anyone 2024,1 year ago,3,skip 2020 anyone 2024,skip 2020 anyone 2024
@LifewithMahendra,Anyone 2024😂,1 year ago,1,anyone 2024,anyone 2024
@BobbyKoome,I like the way Uzzy tells Denison that your room is there😂😂😂🤣,1 year ago,1,i like the way uzzy tells denison that your room is there,like way uzzy tells denison room
@musipiliberio1563,2024😂,1 year ago,2,2024,2024
@mohPog,2024😂,1 year ago,2,2024,2024
@nangonziLillian-zy5ex,""" You look like a mad man "" 🤣🤣🤣🤣",1 year ago,1,you look like a mad man,look like mad man
@Nicholas-fr5gf,Anyone here in 2024😂😂😂😂,1 year ago,22,anyone here in 2024,anyone 2024
@wichamnewmai,Anyone here in 2024,1 year ago,1,anyone here in 2024,anyone 2024
@itstheweirdo3604,Who’s here in 2024 🤣,1 year ago,76,who s here in 2024,2024
@munezerondayisaba5174,Kanye Kanye baby 😂😂😂,1 year ago,1,kanye kanye baby,kanye kanye baby
@ElizabethMenz,Anyone here 2024 😂,1 year ago,5,anyone here 2024,anyone 2024
@Bruce88888,He said the N word 😂😂,1 year ago,1,he said the n word,said word
@chrisnick-cy1lm,ANYONE HERE IN 2024 LOOKING BACK AT THE OG VIDS❤❤❤,1 year ago,1,anyone here in 2024 looking back at the og vids,anyone 2024 looking back og vids
@IvankalimonLimon,Anyone in 2024,1 year ago,0,anyone in 2024,anyone 2024
@JORAM646,What is smelling 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 He is mado😂😂😂😂😂😂😂,1 year ago,0,what is smelling he is mado,smelling mado
@haziqsaffari9893,He will be fine after he washes his face.😂,1 year ago,0,he will be fine after he washes his face,fine washes face
@tbaby5872,😂😂😂😂😂😂😂😂😂,1 year ago,1,,
@tbaby5872,I’m Cameroonian,1 year ago,1,i m cameroonian,cameroonian
@watermelnom,Who else is here in 2024,1 year ago (edited),491,who else is here in 2024,else 2024
@kawaiistrxwberr1es,Donald Trump😂 One time he was doing Kanye West style.😂😂😂,1 year ago,0,donald trump one time he was doing kanye west style,donald trump one time kanye west style
@jasminefahie370,2024 anyway 😂,1 year ago,0,2024 anyway,2024 anyway
@fact_flicks-1tv,Am here,1 year ago,0,am here,
@FADEDKING,December 11 2024 😂,10 months ago,0,december 11 2024,december 11 2024
@Kirikpartyjanbdn123,2025 may 15,5 months ago,0,2025 may 15,2025 may 15
@PerfectMokgope,🙋‍♂️,1 year ago,3,,
@sharissaevelyn377,Me,1 year ago,1,me,
@AingaranSekar,Present sir,1 year ago,1,present sir,present sir
@puppyexploits,I full ground,1 year ago,1,i full ground,full ground
@drewzyomutwazi7788,I'm here,1 year ago,1,i'm here,
@Zorien__Playz,Me 😢🎉😂😅,11 months ago,0,me,
@Random123-h3s,I'm in 2025,9 months ago,0,i'm in 2025,2025
@zairerolle757,Me,1 year ago,8,me,
@RosaEstrellaPrince,me!😂,1 year ago,3,me,
@TaliaMutahi,𝙼𝚎 😂,1 year ago,2,,
@Kflaynife,Me 😂,1 year ago,4,me,
@TaliaMutahi, @Kflaynife   too,1 year ago,2,kflaynife too,kflaynife
@AsiyaBello-g2h,Me oh😊,1 year ago,2,me oh,oh
@kynthuplang9633,Me 😅,1 year ago,2,me,
@mahlalekhwenimonsterchanne4127,😂😂😂😂,1 year ago,0,,
@georgewillaimotim-nape9404,Me,1 year ago,0,me,
@longwacwallim5164,I from nagaland ❤,1 year ago,2,i from nagaland,nagaland
@alikarodrigues1817,Here,1 year ago,0,here,
@Qamarqasim-b2x,Me,1 year ago,0,me,
@Cyrillnjoki,"Me oh,,,old is gold,,",1 year ago,0,me oh old is gold,oh old gold
@giteii.x,😂,1 year ago,0,,
@sharissaevelyn377,Me,1 year ago,0,me,
@ezikesomto556,Me😂😂,1 year ago,0,me,
@ifrahsalad7182,me!😅,1 year ago,0,me,
@lemy3538,Me😂,1 year ago,0,me,
@alexandrelobato2071,Me,1 year ago,0,me,
@alexandrelobato2071,I miss Denilson with them😢,1 year ago,2,i miss denilson with them,miss denilson
@Funtime_Li3ZyQt,Me!,1 year ago,2,me,
@sophiekiwanuka2011,🤣🤣🤣🤣🤣🤣🤣😂😂😂,1 year ago,0,,
@georgewillaimotim-nape9404,Me😊😊,1 year ago,0,me,
@ErmiyasHadush-tm7cc,Me 😂,1 year ago,0,me,
@dmvdemba2999,me🐰,1 year ago,2,me,
@masterized_Lightening12,Me,1 year ago,0,me,
@salmonaukleya5490,😂here,1 year ago,0,here,
@smg9-1k,Me,1 year ago,0,me,
@kamarafoday6516,Me,1 year ago,0,me,
@mythic749,me 😭😭,1 year ago,0,me,
@princegwaaza7669,Lol,1 year ago,0,lol,lol
@TinoMtde,me,1 year ago,0,me,
@Yourfavrobloxcontentcreatorr,August 27th anyone,1 year ago,0,august 27th anyone,august 27th anyone
@FatmataDumbuya-d5d,Me oo,1 year ago,0,me oo,oo
@FatmataDumbuya-d5d,Me oh,1 year ago,0,me oh,oh
@IgeteUtetiwabo,Me🙋‍♂️,1 year ago,1,me,
@IgeteUtetiwabo,I’m in 2024🙋‍♂️,1 year ago,1,i m in 2024,2024
@Randomnexz,Bro is that desparate for attention,1 year ago,0,bro is that desparate for attention,bro desparate attention
@VanessaBlackett-jy7cd,Me😂,1 year ago,0,me,
@OnlyRandi,I'm definitely here 🎉🎉🎉,1 year ago,0,i'm definitely here,definitely
@LakielMoodie,Hi,1 year ago,0,hi,hi
@GemZees,Me,1 year ago,0,me,
@foundation6294,Shu,11 months ago,0,shu,shu
@Papichulo23-z2l,Me,11 months ago,0,me,
@YourboyRyanz,Me,10 months ago,0,me,
@DivinaLumbri,Me❤,10 months ago,0,me,
@thendralthennavan7700,Dec 2024 revisit this,10 months ago,0,dec 2024 revisit this,dec 2024 revisit
@Ali-l7k5k,Me,10 months ago,0,me,
@ChinoKazuya,lol,10 months ago,0,lol,lol
@tomianjarrett8440,Me,10 months ago,0,me,
@Blessed-Infinitely,Not me. 2025!!,10 months ago,1,not me 2025,2025
@SORBET_COOKIE_GAMING, @Blessed-Infinitely me too,9 months ago,1,blessed infinitely me too,blessed infinitely
@Rosie-n2x,Happy new year🎉,9 months ago,1,happy new year,happy new year
@NuradinAbdullahi-w1s,2025**,9 months ago,0,2025,2025
@zarahchenge2893,Not me I'm in 2025,9 months ago,0,not me i'm in 2025,2025
@Darkdgamerz,2025 bro😂,9 months ago,0,2025 bro,2025 bro
@K_jezy13,Imagine Ojo in one of these videos 😂,1 year ago,1,imagine ojo in one of these videos,imagine ojo one videos
@jojomatike2469,2024,1 year ago,1,2024,2024
@albertinehanhele3953,Anyone here in 2024,1 year ago,1,anyone here in 2024,anyone 2024
@Zaricute,Emanuela you're good at these  plans 😂😂❤❤,1 year ago,1,emanuela you're good at these plans,emanuela good plans
@Zaricute,😂😂😂 uncle  denilson  your  really  mad,1 year ago,1,uncle denilson your really mad,uncle denilson really mad
@Ibyg-h7r,The fact denilson  said the n word 😂,1 year ago,0,the fact denilson said the n word,fact denilson said word
@fatherdavid7498,So funny even in 2023,1 year ago,0,so funny even in 2023,funny even 2023
@reubendaka1999,2023 still watching . Denise was one of the funniest guy in mark angel comedy now u can't see him in there videos 😢😢,1 year ago,0,2023 still watching denise was one of the funniest guy in mark angel comedy now u can't see him in there videos,2023 still watching denise one funniest guy mark angel comedy can't see videos
@AtwineKingsley,Anyone here in 2024,1 year ago,0,anyone here in 2024,anyone 2024
@husseinamane2702,Trump is not going back,1 year ago,0,trump is not going back,trump going back
@MsAfricanamerican,J,1 year ago,0,j,
@MohamedHashiaxmed,Can ask you questions,1 year ago,1,can ask you questions,ask questions
@johnwisdom6131,anyone in 2023😂😂,1 year ago,0,anyone in 2023,anyone 2023
@Rosezplayz88,He says the n word 😮,1 year ago,2,he says the n word,says word
@dignaherman4825,Anyone here in 2023❤,1 year ago,1,anyone here in 2023,anyone 2023
@muntas2660,TRUMP IN 2024👹👹👹👹👹👺👺👺👺👺👺,1 year ago,0,trump in 2024,trump 2024
@hamprebugoydeguzman7523,2023 and still watching,1 year ago,0,2023 and still watching,2023 still watching
@ahmedalipogba3603,2024😂 any one,1 year ago,0,2024 any one,2024 one
@ariellemamangon375,2023 THIS IS TRUMP! 😂😂😂,1 year ago (edited),0,2023 this is trump,2023 trump
@langwanyahlatshwako8663,Shu.... man😂😂😂😂😂😂😂 what's wrong with Africa shu😂😂😂,1 year ago,1,shu man what's wrong with africa shu,shu man what's wrong africa shu
@Derek_Antonio,🙌🏼,1 year ago,0,,
@mxrcymemes,😅i just realized now,1 year ago,0,i just realized now,realized
@ellavlogs6531,He has his own channel now!,1 year ago,0,he has his own channel now,channel
@MohamedHashiaxmed,Can ask you questions,1 year ago,0,can ask you questions,ask questions
@agnes_klay, @MohamedHashiaxmed yes u can ask 😮,1 year ago (edited),0,mohamedhashiaxmed yes u can ask,mohamedhashiaxmed yes ask
@deyx.1,Nope,1 year ago,0,nope,nope
@muntas2660,Same,1 year ago,0,same,
@muntas2660,Nope in November 2023😑 Yyeyyeyeyessss,1 year ago,0,nope in november 2023 yyeyyeyeyessss,nope november 2023 yyeyyeyeyessss
@Afodis,2023 ?,1 year ago,0,2023,2023
@rgvanrooyen1277,Bdjfiorif8f8fiifoeirrooritititittiit,2 years ago,0,bdjfiorif8f8fiifoeirrooritititittiit,bdjfiorif8f8fiifoeirrooritititittiit
@Bestmia142,2023,2 years ago,1,2023,2023
@Suboytheinternational7,When anybody try dat wit me i'm gonna call the p-o p-o that line killed me😂😂😂😂😂😂😂😂😂😂,2 years ago (edited),0,when anybody try dat wit me i'm gonna call the p o p o that line killed me,anybody try dat wit gonna call line killed
@davidralte4052,Still watch in 2023,2 years ago,0,still watch in 2023,still watch 2023
@abosedeajayi8308,This comedy is very interesting😂😂,2 years ago,0,this comedy is very interesting,comedy interesting
@deltouinecatwell,Is any here from 2023✋ and bro just say nigga,2 years ago,0,is any here from 2023 and bro just say nigga,2023 bro say nigga
@princeodame43,Anyone here in 2023😂🙏🏿✋✋,2 years ago,0,anyone here in 2023,anyone 2023
@luv4_likha,Anyone here in 2023🙌🖐😂,2 years ago,1,anyone here in 2023,anyone 2023
@hanav1607,2023,2 years ago,0,2023,2023
@Dodo_an06,2023 here.....❤❤,2 years ago,0,2023 here,2023
@adijongzadijongz7769,Anyone here in 2023😂,2 years ago,0,anyone here in 2023,anyone 2023
@claytonthomas7,2023😂,2 years ago,0,2023,2023
@prettydon-b7w,The way Emanuela was  lau,2 years ago,0,the way emanuela was lau,way emanuela lau
@lesegomogale7808,Anyone here in 2023😂,2 years ago,3,anyone here in 2023,anyone 2023
@Gamesonly-k8i,Vote for Donald Trump! US,2 years ago,0,vote for donald trump us,vote donald trump us
@DiegoCarillo-q4y,He said the n word,2 years ago,0,he said the n word,said word
@anangcartertv4202,Who is still here 2023,2 years ago,2,who is still here 2023,still 2023
@veralimbuwa8883,😂😂😂😂😂😂,2 years ago,0,,
@nashiyeshuuya9849,"why
why
y",2 years ago,0,why why y,
@nashiyeshuuya9849,did you say nigga,2 years ago,0,did you say nigga,say nigga
@malixolemdutyana7733,"In South Africa, we still watch it even in 2023😂😂😂",2 years ago,13,in south africa we still watch it even in 2023,south africa still watch even 2023
@LeslieIteire,😂😂😂😂😂😂😂😂🇳🇬,2 years ago,0,,
@JustAbacongirll,0:23  o my Niga mark,2 years ago,1,0 23 o my niga mark,23 niga mark
@princeandalialuke74,Back in 2024.!!,2 years ago,1,back in 2024,back 2024
@peteralmasi6185,Anyone there in 2023?? I really miss denilson 😢😢,2 years ago,0,anyone there in 2023 i really miss denilson,anyone 2023 really miss denilson
@JorjaSmith-h5p,Everyone here 2023😂,2 years ago,1,everyone here 2023,everyone 2023
@Arcistagocrazy,I have been watching this comedy ever since I was 5 now I’m 11 time goes so fast😢😢😢,2 years ago,3,i have been watching this comedy ever since i was 5 now i m 11 time goes so fast,watching comedy ever since 11 time goes fast
@riothegenuis6278,😂😂 omooo,2 years ago,1,omooo,omooo
@henryuzoho3193,This.   Is.   2023.     The.   New.   Year😂😂❤,2 years ago,2,this is 2023 the new year,2023 new year
@tmansbanda1420,😂😂😂who is here 2023,2 years ago,1,who is here 2023,2023
@njakwamwandila3644,Am here 2023😂🤣🤣🤣,2 years ago,2,am here 2023,2023
@daviajennings8131,It's 2023,2 years ago,2,it's 2023,2023
@francaozojiofor2835,😂😂😂😂😂😂😂😂😂😂😂😂,2 years ago,0,,
@looloos4232,Who is watching in 2023,2 years ago,1,who is watching in 2023,watching 2023
@athidlamini,"Mark man, okay asiyiyeke lento ka man",2 years ago,0,mark man okay asiyiyeke lento ka man,mark man okay asiyiyeke lento ka man
@motosmooth,Illinois state tax is more on ur old 🗝️🗝️🗝️🗝️🗝️🗝️🗝️🗝️🗝️ I wasn't,2 years ago,0,illinois state tax is more on ur old i wasn't,illinois state tax ur old
@Aesthetics-b9,Anyone in 2023,2 years ago,0,anyone in 2023,anyone 2023
@godswillessien2212,See the way Denilson look like Albino 😅😅,2 years ago,1,see the way denilson look like albino,see way denilson look like albino
@kennedysiwadawada3757,"Denison should come back to Mark Angel Comedy serious, we need him back serious, Please Mark you guys should puts your things aside 🙏🙏🙏🙏",2 years ago,0,denison should come back to mark angel comedy serious we need him back serious please mark you guys should puts your things aside,denison come back mark angel comedy serious need back serious please mark guys puts things aside
@GYRO_WRAITH,Any one in 2023,2 years ago,0,any one in 2023,one 2023
@grantyoung7246,Unkle denison. Oh my nikka mark. 😅😊😂😂this is trump yo. Haha.❤❤u all,2 years ago,0,unkle denison oh my nikka mark this is trump yo haha u all,unkle denison oh nikka mark trump yo haha
@Eylanidris,🤣🤣🤣😂🤣😂😂😂😂😅🤣🤣🤣,2 years ago,0,,
@edneljrpierre6321,"Donald Trump hair be like
😂",2 years ago,0,donald trump hair be like,donald trump hair like
@elastusmuhwezi5429,2023 and am still here😊,2 years ago,0,2023 and am still here,2023 still
@letkopoichannal9280,run oh  i like this words 🤣these guys are funny,2 years ago,0,run oh i like this words these guys are funny,run oh like words guys funny
@willsonwills9172,Anyone here on 2023?🤣,2 years ago,1,anyone here on 2023,anyone 2023
@lesleykinz4802,This is the tenth time that I'm watching this one again .❤ from Papua New Guinea 🇵🇬🇵🇬🇵🇬,2 years ago,0,this is the tenth time that i'm watching this one again from papua new guinea,tenth time watching one papua new guinea
@PhelistusNyongesa,Mark you will kill me with laughter abeg ah ah😅😅,2 years ago,0,mark you will kill me with laughter abeg ah ah,mark kill laughter abeg ah ah
@annosa3343,2023 anyone?,2 years ago,0,2023 anyone,2023 anyone
@thatgirlrach2012,Who here 2023 ✋😂😂😂😂🤣🤣 you can miss this ep so funny 🤣🤣,2 years ago,1,who here 2023 you can miss this ep so funny,2023 miss ep funny
@VoiceOfThe_streets,Anyone here in 2023?😂,2 years ago,3,anyone here in 2023,anyone 2023
@alfaranjanbiswal1994,Anyone here in 2023 ?????,2 years ago,4,anyone here in 2023,anyone 2023
@MoyaMiller,Anyone here in 2023😂😂😂😂,2 years ago,2,anyone here in 2023,anyone 2023
@Fidem-y1h,2023 anyone??,2 years ago,2,2023 anyone,2023 anyone
@mariamossang7132,😂😂😂,2 years ago,1,,
@RiyadhHabab-b5e,Anyone here in 2023😂❤,2 years ago,2,anyone here in 2023,anyone 2023
@sedinamchormey1927,I don't like the new Denilson 😕 😒 😐 😑 🙄 😪 😕 😒 😐  😕,2 years ago (edited),1,i don't like the new denilson,like new denilson
@itoldyoui8,"Anyone here in 2023?
👇",2 years ago,4,anyone here in 2023,anyone 2023
@cherrycherry373,2023🎉😂,2 years ago,3,2023,2023
@Imfinnabuuusssttt,2023 FOR LIFE!!!!!!!!,2 years ago,0,2023 for life,2023 life
@ST4RSII,Heree,2 years ago,0,heree,heree
@itoldyoui8, @ST4RSII  perfect,2 years ago (edited),0,st4rsii perfect,st4rsii perfect
@lewellynsecondtjakauruaf6293,Anyone here in 2023 😂🙏🏽,2 years ago,3,anyone here in 2023,anyone 2023
@sologoatt1024,It’s 2023 for me 🤣🤣🤣,2 years ago,3,it s 2023 for me,2023
@HenryOnuoha-kj6qu,Anyone here 2023 💯,2 years ago,3,anyone here 2023,anyone 2023
@APie-d1y,Here in 2023 after watching kenye west style😅😅😅😅,2 years ago,1,here in 2023 after watching kenye west style,2023 watching kenye west style
@celejmuhambi9714,Hey GODS WILL AT 2025😊.,2 years ago,1,hey gods will at 2025,hey gods 2025
@AceBeeCee,"""Tromp! Baby tromp!""
That made me blow up and crack my funny bone.",2 years ago,0,tromp baby tromp that made me blow up and crack my funny bone,tromp baby tromp made blow crack funny bone
@NodumoNyoni,Its 2023 I'm still watching this one🔥🔥❤️,2 years ago,1,its 2023 i'm still watching this one,2023 still watching one
@ShaneTaylor30,Anyone here in 2023😂😂😂😂😂😂,2 years ago,0,anyone here in 2023,anyone 2023
@mariepriscasingainy-moutia5201,😂😂😂,2 years ago,0,,
@IslamIslam-pu1ol,I am African kid And England muslim,2 years ago,0,i am african kid and england muslim,african kid england muslim
@herdhoboss2478,Denilsen see your bebe like. Toilet brush,2 years ago,0,denilsen see your bebe like toilet brush,denilsen see bebe like toilet brush
@paulpaul2208,Anyone in 2023?,2 years ago,0,anyone in 2023,anyone 2023
@shrinajohnson-chang661,Wiping bird poop under his nose really smart emmanuela.✌✌✌✌😎😎😎😎,2 years ago,1,wiping bird poop under his nose really smart emmanuela,wiping bird poop nose really smart emmanuela
@nsenginyumvabezabriella3817,DENILSON   he   has  trump  even  emanualla  she  right   he   will   run  mad  oh  oh  oh.,2 years ago,1,denilson he has trump even emanualla she right he will run mad oh oh oh,denilson trump even emanualla right run mad oh oh oh
@QualityFTF,Oh my nigga mark😂😂😂lol,2 years ago,1,oh my nigga marklol,oh nigga marklol
@textingstory887,I was dead at 0:35,2 years ago,0,i was dead at 0 35,dead 35
@sanjanasaraswathi,Anyone here in 2023😂😂✋🙌,2 years ago,4,anyone here in 2023,anyone 2023
@mariepriscasingainy-moutia5201,Tunisie pour,2 years ago,0,tunisie pour,tunisie pour
@viralfever4131,Who’s here in 2023,2 years ago (edited),0,who s here in 2023,2023
@thenjiwencube4093,I came back woo..what's going on,2 years ago,0,i came back woo what's going on,came back woo what's going
@ermineking931,Denison said the earth is smiling,2 years ago,1,denison said the earth is smiling,denison said earth smiling
@n3philim275,6:35 take say smoking weed quietly. I bet no one heard this till they see this comment. Like this comment if you hear it also.!,2 years ago,1,6 35 take say smoking weed quietly i bet no one heard this till they see this comment like this comment if you hear it also,35 take say smoking weed quietly bet one heard till see comment like comment hear also
@ermineking931,No its,2 years ago,1,no its,
@memyselfni3202,Emanuella is wrong for this 😂,2 years ago,1,emanuella is wrong for this,emanuella wrong
@letthenseilhungdim,Anyone here in 2023?,2 years ago,0,anyone here in 2023,anyone 2023
@PastorIsaacXulu,Shuu 😂🤣,2 years ago,1,shuu,shuu
@PastorIsaacXulu,Mark is the best 😂🤣,2 years ago,0,mark is the best,mark best
@Victortv45,"I love mark, Emmanuella Denison, k brown, and most especially success ❤️❤️ wise success smart Emmanuella 🤣🤣❤️❤️❤️",2 years ago,0,i love mark emmanuella denison k brown and most especially success wise success smart emmanuella,love mark emmanuella denison brown especially success wise success smart emmanuella
@People_review,2023 from kerala india 😍,2 years ago,0,2023 from kerala india,2023 kerala india
@BerkoMedia,2023 still dhup ❤,2 years ago,0,2023 still dhup,2023 still dhup
@michaeliathomas4479,Anyone here in 2023 😂,2 years ago,1,anyone here in 2023,anyone 2023
@renmikebonsua4539,"2023 but still im here ,ever since hahaha",2 years ago,0,2023 but still im here ever since hahaha,2023 still im ever since hahaha
@eunice1471,Am wondering why delison  came back from American poor and his laughing at his friends there still poor asking if comedy doesn't pay them😂😂😂😂😂,2 years ago,0,am wondering why delison came back from american poor and his laughing at his friends there still poor asking if comedy doesn't pay them,wondering delison came back american poor laughing friends still poor asking comedy pay
@footballlegend8046,Denison is the only reason why I watch mark Angel comedy 👏👏👏,2 years ago,0,denison is the only reason why i watch mark angel comedy,denison reason watch mark angel comedy
@soloplay8049,Who is still watching in 2023.,2 years ago,1,who is still watching in 2023,still watching 2023
@loftonseymour5623,This guy is good he could make you Laugh,2 years ago,0,this guy is good he could make you laugh,guy good could make laugh
@udhay-z9q,Here in 2023,2 years ago,0,here in 2023,2023
@fantadiarra833,2023🎉❤,2 years ago,0,2023,2023
@evitaorengo79,2023,2 years ago,0,2023,2023
@Random-user93,Legends say that Denilson is still saying that something is smelling.,2 years ago,0,legends say that denilson is still saying that something is smelling,legends say denilson still saying something smelling
@n3philim275,They say”,2 years ago,0,they say,say
@esther960,Who’s here 2023 🤣,2 years ago,1,who s here 2023,2023
@Hahaha-s9x,Anyone hea 2023,2 years ago,0,anyone hea 2023,anyone hea 2023
@fantozzatv,Anyone here in 2023 😂😋,2 years ago,0,anyone here in 2023,anyone 2023
@keamogetsweledwaba6045,Anyone watching in 2023🔥🤗,2 years ago,0,anyone watching in 2023,anyone watching 2023
@riyaruna2286,2023😂,2 years ago,0,2023,2023
@oseiwilberforce4554,2023 😂,2 years ago,1,2023,2023
@mohamedyusuf4641,This Trump men,2 years ago,1,this trump men,trump men
@daibioruene5884,The earth is smelling😂😂😂😂😂😂😂😂😂😂😂😂😂,2 years ago,0,the earth is smelling,earth smelling
@daibioruene5884,Its trump men trump TRUMP,2 years ago,0,its trump men trump trump,trump men trump trump
@daibioruene5884,Its trump trump😂,2 years ago,0,its trump trump,trump trump
@SawikiKauh,trump baby trump,2 years ago,0,trump baby trump,trump baby trump
@SawikiKauh,its very funny  i like mark angel comedy movies😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2 years ago,0,its very funny i like mark angel comedy movies,funny like mark angel comedy movies
@Uglyboy_257,Anyone else here in 2023 ?,2 years ago,1,anyone else here in 2023,anyone else 2023
@zara9492,Emanuella really said that denilson looks like father christmas with no money she got me on the floor 😂😂😂😂,2 years ago,4,emanuella really said that denilson looks like father christmas with no money she got me on the floor,emanuella really said denilson looks like father christmas money got floor
@Hellobro630,"Anyone  here in 
2023",2 years ago,2,anyone here in 2023,anyone 2023
@juliatimothy8072,Anyone hear in 2022!!,2 years ago,1,anyone hear in 2022,anyone hear 2022
@Spleefy-z5p,Anyone here in 2022,2 years ago,0,anyone here in 2022,anyone 2022
@zainabtouray7681,That's end video That's was very funny 😄 😆 🤣 😂 😀 😁,2 years ago,0,that's end video that's was very funny,that's end video that's funny
@1Jaheim,Anyone here in 2022😂😂😂,2 years ago,0,anyone here in 2022,anyone 2022
@nolusindisofihla5734,Shu men 😹😹😹😹😹,2 years ago,1,shu men,shu men
@amariwilson1310,Me o.,2 years ago,0,me o,
@average16yoldd,😂😢,2 years ago,0,,
@abbymutheu1699,Yes me,2 years ago,0,yes me,yes
@teodormwenenimwashindange,Trump has killed me ooo😂😂😂,2 years ago,1,trump has killed me ooo,trump killed ooo
@cyberpro-gp2nh,this is impresive,2 years ago,0,this is impresive,impresive
@chiragjani9342,"Mark men , ok mark lets forget about this men thing . Most funny line in this episode 🤣🤣🤣🤣",2 years ago,8,mark men ok mark lets forget about this men thing most funny line in this episode,mark men ok mark lets forget men thing funny line episode
@dianamakungu8262,I think am gonna watch this for a lifetime.....God bless you guys,2 years ago,1,i think am gonna watch this for a lifetime god bless you guys,think gonna watch lifetime god bless guys
@isaacchunga8079,🤣🤣🤣🤣🤣🤣🤣🤣,2 years ago,0,,
@monicandita,To funny 🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂🤩,2 years ago,0,to funny,funny
@obedsikute8068,2022 13th November have missed him,2 years ago,1,2022 13th november have missed him,2022 13th november missed
@gotsileinedollynkwakweng7323,Trumpppp,2 years ago,0,trumpppp,trumpppp
