author,comment,time,votes,clean,clean_nostop,polarity,sentiment
@joshuakepler,Normally. He will exaggerate something for theatrics but part of what he said is the truth,1 year ago,0,normally he will exaggerate something for theatrics but part of what he said is the truth,normally exaggerate something theatrics part said truth,0.15,positive
@KurdemAnderw-rz9cf,Meee😂😮,1 year ago,2,meee,meee,0.0,neutral
@Stephanie-tj8sn,This is still my fav mark angel vid😭😭,1 year ago,1,this is still my fav mark angel vid,still fav mark angel vid,0.0,neutral
@Yfndom15,You guys backward 😂😂 dis is trump😂😂,1 year ago,0,you guys backward dis is trump,guys backward dis trump,0.0,neutral
@surakatakandeh8248,This is Trump men 😂😂😂,1 year ago (edited),1,this is trump men,trump men,0.0,neutral
@sarawatswife,"It's 2024 and I'm still laughing at ""oh my nigga Mark"" 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",1 year ago,15,it's 2024 and i'm still laughing at oh my nigga mark,2024 still laughing oh nigga mark,0.0,neutral
@Zaza-o1d,Hi. How are you doing today,1 year ago,0,hi how are you doing today,hi today,0.0,neutral
@dmvdemba2999,🤣🤣,1 year ago,0,,,0.0,neutral
@SamadAdebayo-db7ov,I really miss denilson too ..did you guys fight 😮😮why are you guys not been together again,1 year ago,1,i really miss denilson too did you guys fight why are you guys not been together again,really miss denilson guys fight guys together,0.2,positive
@SamadAdebayo-db7ov,Who’s here again in 2024 😂😂😂it been a long time ….,1 year ago,1,who s here again in 2024 it been a long time,2024 long time,-0.05,neutral
@johnizoboy,Anyone here in 2024,1 year ago,0,anyone here in 2024,anyone 2024,0.0,neutral
@Khaipieimi,Me i will love to watch mark and his teams forever i really miss them they are the best of best,1 year ago,0,me i will love to watch mark and his teams forever i really miss them they are the best of best,love watch mark teams forever really miss best best,0.675,positive
@ceedana,"OMG 
😁😁😁😁😁😂",1 year ago,0,omg,omg,0.0,neutral
@adamudennis8898,I love that they mention Ghana 🇬🇭 In some videos i am from Ghana🇬🇭🇬🇭,1 year ago,0,i love that they mention ghana in some videos i am from ghana,love mention ghana videos ghana,0.5,positive
@JayDrop-gz3gp,Secret with Emmanuela😂😂😂😂,1 year ago,0,secret with emmanuela,secret emmanuela,-0.4,negative
@mariabrusch3354,Anyone here in 2024😂❤,1 year ago,1,anyone here in 2024,anyone 2024,0.0,neutral
@FrancisCauthen,U forgot where you come from,1 year ago,0,u forgot where you come from,forgot come,0.0,neutral
@FrancisCauthen,Why is he back there probably don't have any were to stay,1 year ago,1,why is he back there probably don't have any were to stay,back probably stay,0.0,neutral
@PalesaMatene,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅😅😅😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,1 year ago,0,,,0.0,neutral
@RockyRajkumar-yg1ee,Trump has killed me oh...😂😂😂,1 year ago,0,trump has killed me oh,trump killed oh,-0.2,negative
@alexandrelobato2071,I miss Denilson with them😢,1 year ago,2,i miss denilson with them,miss denilson,0.0,neutral
@Offical.mm200,Ye,1 year ago,1,ye,ye,0.0,neutral
@Ablockin4eva,The fact he had audicity to say that is outrageous,3 months ago,1,the fact he had audicity to say that is outrageous,fact audicity say outrageous,-1.0,negative
@Ruby214-yt3wn,😢Me,1 year ago,1,me,,0.0,neutral
@TemitopeDimple,You are doing Wizkid,1 year ago,0,you are doing wizkid,wizkid,0.0,neutral
@Rougevestore,who else is here after Denilson's live video about Maek Angel?,1 year ago,36,who else is here after denilson's live video about maek angel,else denilson's live video maek angel,0.13636363636363635,positive
@YgmlinYgmlin,😂😂😂😂,1 year ago,0,,,0.0,neutral
@thomassevou7561,It's 2024 and we miss Denilson igwe ❤,1 year ago,0,it's 2024 and we miss denilson igwe,2024 miss denilson igwe,0.0,neutral
@sheesh7684,N word,1 year ago,0,n word,word,0.0,neutral
@danilloconnery2841,Trump? You mean Donald Trump? Unless you will get bomb by smelling him like dustbin🤣🤣,1 year ago,0,trump you mean donald trump unless you will get bomb by smelling him like dustbin,trump mean donald trump unless get bomb smelling like dustbin,-0.3125,negative
@sokunven4465,2024 i'm still watching old video😂,1 year ago,1,2024 i'm still watching old video,2024 still watching old video,0.1,neutral
@MEPON-G11,This type of classic video we missed...😢😢,1 year ago,0,this type of classic video we missed,type classic video missed,0.16666666666666666,positive
@ndlandlamukowanga,😂😂😂😂😂😂😂,1 year ago,0,,,0.0,neutral
@pulsesz1953,Trump  baby 🤣🤣🤣🤣,1 year ago,0,trump baby,trump baby,0.0,neutral
@Blankfanta0,"""They way he said oh my nigga mark you are still the same"".  (Fyi im black so yeh)",1 year ago,0,they way he said oh my nigga mark you are still the same fyi im black so yeh,way said oh nigga mark still fyi im black yeh,-0.08333333333333333,neutral
@ntanganedzenimmaphaha,"2024

Earth is smelling 🤣🤣",1 year ago,1,2024 earth is smelling,2024 earth smelling,0.0,neutral
@SmiLyGaGaNaaNdCraZyNuShNa,yes,1 year ago,0,yes,yes,0.0,neutral
@MrsoeMyint-b1s,Lol 😂 i’m still watching 2024😂,1 year ago,0,lol i m still watching 2024,lol still watching 2024,0.8,positive
@CTFB_KAB260X,"""Oh my nigga mark"" Nah Denilson you good?",1 year ago,0,oh my nigga mark nah denilson you good,oh nigga mark nah denilson good,0.7,positive
@Angela18062,I'm here😂😂,1 year ago,0,i'm here,,0.0,neutral
@michaelmonter4050,Im watching right now,1 year ago,0,im watching right now,im watching right,0.2857142857142857,positive
@Fcmobile-m8v,😂😂😂😂😂😂😂😂😂😂😂😂,1 year ago,0,,,0.0,neutral
@thekingdomprayerlifewithkelly,Am going to call the popo😂😂😂😂😂,1 year ago,0,am going to call the popo,going call popo,0.0,neutral
@ayubmuriuki8486,🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪 2024 little emmanuella 😂😂😂 now the big girl,1 year ago,0,2024 little emmanuella now the big girl,2024 little emmanuella big girl,-0.09375,neutral
@alphansogeorgedivinekalama2369,"That's me right there 😅,
The story is disheartening",1 year ago,1,that's me right there the story is disheartening,that's right story disheartening,0.2857142857142857,positive
@fashmovies247,me oh,1 year ago,1,me oh,oh,0.0,neutral
@EtukokwuIfechukwu,Me too,1 year ago,1,me too,,0.0,neutral
@UjunwafavourGodwin,Me oo😢,1 year ago,0,me oo,oo,0.0,neutral
@Rougevestore," @alphansogeorgedivinekalama2369  There are always 2 sides to a story.
There might be spme truths about all he said, but the other party may also have some hidden truths aswell.",1 year ago,0,alphansogeorgedivinekalama2369 there are always 2 sides to a story there might be spme truths about all he said but the other party may also have some hidden truths aswell,alphansogeorgedivinekalama2369 always sides story might spme truths said party may also hidden truths aswell,-0.14583333333333331,negative
@francisakpa2706,Denilson is mad oooooo,1 year ago,0,denilson is mad oooooo,denilson mad oooooo,-0.625,negative
@victorstrange23,Still blasting in 2024,1 year ago,1,still blasting in 2024,still blasting 2024,0.0,neutral
@mr.patrick250,😂😂😂😂,1 year ago,0,,,0.0,neutral
@BettyGomez-qd9tg,Me,1 year ago,0,me,,0.0,neutral
@dreamers2361,😂😂😂 my nigga Mark,1 year ago,0,my nigga mark,nigga mark,0.0,neutral
@IshaSagnia,"Let’s give a round of applause to Mark Angel for making us laugh, and whenever was sad, he always makes us happy. Let’s give him a big round of applause, ladies and gentlemen.❤❤❤❤❤❤❤❤😂😂😂😂",1 year ago,0,let s give a round of applause to mark angel for making us laugh and whenever was sad he always makes us happy let s give him a big round of applause ladies and gentlemen,let give round applause mark angel making us laugh whenever sad always makes us happy let give big round applause ladies gentlemen,0.03333333333333333,neutral
@sylvestermogire7134,2024 anyone??🌹🌹🌹,1 year ago,1,2024 anyone,2024 anyone,0.0,neutral
@HaKhuiShingg,2024💗💗,1 year ago,0,2024,2024,0.0,neutral
@nega_the0,anyone here in 2024? ✨,1 year ago,0,anyone here in 2024,anyone 2024,0.0,neutral
@Alphachad.913,2024 😂😂😂 still laughing,1 year ago,0,2024 still laughing,2024 still laughing,0.0,neutral
@roseaihimegbe,😅😅,1 year ago,0,,,0.0,neutral
@iwantviewss,2024?,1 year ago,1,2024,2024,0.0,neutral
@elizabetholuwatoyinaiyedog3171,I mount new shows now,1 year ago,0,i mount new shows now,mount new shows,0.13636363636363635,positive
@egg3171,Anyone here 2024??? 😂😂😂😂😂😂,1 year ago,3,anyone here 2024,anyone 2024,0.0,neutral
@Muss-rc9gx,Hi😢😢😢😢😢😢kkkkkk,1 year ago,0,hikkkkkk,hikkkkkk,0.0,neutral
@KanjimongKanjimong,It's 2024 ohh 😂😂,1 year ago,1,it's 2024 ohh,2024 ohh,0.0,neutral
@okeykid780okea9,He said my nigga😂😂😂,1 year ago,0,he said my nigga,said nigga,0.0,neutral
@yjfgcg25,Oh my n gga mark lol,1 year ago,0,oh my n gga mark lol,oh gga mark lol,0.8,positive
@okuhmchile,Is anyone from 2030??,1 year ago,0,is anyone from 2030,anyone 2030,0.0,neutral
@DiyaPrithviraj,Skip 2020 anyone 2024,1 year ago,3,skip 2020 anyone 2024,skip 2020 anyone 2024,0.0,neutral
@LifewithMahendra,Anyone 2024😂,1 year ago,1,anyone 2024,anyone 2024,0.0,neutral
@BobbyKoome,I like the way Uzzy tells Denison that your room is there😂😂😂🤣,1 year ago,1,i like the way uzzy tells denison that your room is there,like way uzzy tells denison room,0.0,neutral
@musipiliberio1563,2024😂,1 year ago,2,2024,2024,0.0,neutral
@mohPog,2024😂,1 year ago,2,2024,2024,0.0,neutral
@nangonziLillian-zy5ex,""" You look like a mad man "" 🤣🤣🤣🤣",1 year ago,1,you look like a mad man,look like mad man,-0.625,negative
@Nicholas-fr5gf,Anyone here in 2024😂😂😂😂,1 year ago,22,anyone here in 2024,anyone 2024,0.0,neutral
@wichamnewmai,Anyone here in 2024,1 year ago,1,anyone here in 2024,anyone 2024,0.0,neutral
@itstheweirdo3604,Who’s here in 2024 🤣,1 year ago,76,who s here in 2024,2024,0.0,neutral
@munezerondayisaba5174,Kanye Kanye baby 😂😂😂,1 year ago,1,kanye kanye baby,kanye kanye baby,0.0,neutral
@ElizabethMenz,Anyone here 2024 😂,1 year ago,5,anyone here 2024,anyone 2024,0.0,neutral
@Bruce88888,He said the N word 😂😂,1 year ago,1,he said the n word,said word,0.0,neutral
@chrisnick-cy1lm,ANYONE HERE IN 2024 LOOKING BACK AT THE OG VIDS❤❤❤,1 year ago,1,anyone here in 2024 looking back at the og vids,anyone 2024 looking back og vids,0.0,neutral
@IvankalimonLimon,Anyone in 2024,1 year ago,0,anyone in 2024,anyone 2024,0.0,neutral
@JORAM646,What is smelling 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 He is mado😂😂😂😂😂😂😂,1 year ago,0,what is smelling he is mado,smelling mado,0.0,neutral
@haziqsaffari9893,He will be fine after he washes his face.😂,1 year ago,0,he will be fine after he washes his face,fine washes face,0.4166666666666667,positive
@tbaby5872,😂😂😂😂😂😂😂😂😂,1 year ago,1,,,0.0,neutral
@tbaby5872,I’m Cameroonian,1 year ago,1,i m cameroonian,cameroonian,0.0,neutral
@watermelnom,Who else is here in 2024,1 year ago (edited),491,who else is here in 2024,else 2024,0.0,neutral
@kawaiistrxwberr1es,Donald Trump😂 One time he was doing Kanye West style.😂😂😂,1 year ago,0,donald trump one time he was doing kanye west style,donald trump one time kanye west style,0.0,neutral
@jasminefahie370,2024 anyway 😂,1 year ago,0,2024 anyway,2024 anyway,0.0,neutral
@fact_flicks-1tv,Am here,1 year ago,0,am here,,0.0,neutral
@FADEDKING,December 11 2024 😂,10 months ago,0,december 11 2024,december 11 2024,0.0,neutral
@Kirikpartyjanbdn123,2025 may 15,5 months ago,0,2025 may 15,2025 may 15,0.0,neutral
@PerfectMokgope,🙋‍♂️,1 year ago,3,,,0.0,neutral
@sharissaevelyn377,Me,1 year ago,1,me,,0.0,neutral
@AingaranSekar,Present sir,1 year ago,1,present sir,present sir,0.0,neutral
@puppyexploits,I full ground,1 year ago,1,i full ground,full ground,0.35,positive
@drewzyomutwazi7788,I'm here,1 year ago,1,i'm here,,0.0,neutral
@Zorien__Playz,Me 😢🎉😂😅,11 months ago,0,me,,0.0,neutral
@Random123-h3s,I'm in 2025,9 months ago,0,i'm in 2025,2025,0.0,neutral
@zairerolle757,Me,1 year ago,8,me,,0.0,neutral
@RosaEstrellaPrince,me!😂,1 year ago,3,me,,0.0,neutral
@TaliaMutahi,𝙼𝚎 😂,1 year ago,2,,,0.0,neutral
@Kflaynife,Me 😂,1 year ago,4,me,,0.0,neutral
@TaliaMutahi, @Kflaynife   too,1 year ago,2,kflaynife too,kflaynife,0.0,neutral
@AsiyaBello-g2h,Me oh😊,1 year ago,2,me oh,oh,0.0,neutral
@kynthuplang9633,Me 😅,1 year ago,2,me,,0.0,neutral
@mahlalekhwenimonsterchanne4127,😂😂😂😂,1 year ago,0,,,0.0,neutral
@georgewillaimotim-nape9404,Me,1 year ago,0,me,,0.0,neutral
@longwacwallim5164,I from nagaland ❤,1 year ago,2,i from nagaland,nagaland,0.0,neutral
@alikarodrigues1817,Here,1 year ago,0,here,,0.0,neutral
@Qamarqasim-b2x,Me,1 year ago,0,me,,0.0,neutral
@Cyrillnjoki,"Me oh,,,old is gold,,",1 year ago,0,me oh old is gold,oh old gold,0.1,neutral
@giteii.x,😂,1 year ago,0,,,0.0,neutral
@sharissaevelyn377,Me,1 year ago,0,me,,0.0,neutral
@ezikesomto556,Me😂😂,1 year ago,0,me,,0.0,neutral
@ifrahsalad7182,me!😅,1 year ago,0,me,,0.0,neutral
@lemy3538,Me😂,1 year ago,0,me,,0.0,neutral
@alexandrelobato2071,Me,1 year ago,0,me,,0.0,neutral
@alexandrelobato2071,I miss Denilson with them😢,1 year ago,2,i miss denilson with them,miss denilson,0.0,neutral
@Funtime_Li3ZyQt,Me!,1 year ago,2,me,,0.0,neutral
@sophiekiwanuka2011,🤣🤣🤣🤣🤣🤣🤣😂😂😂,1 year ago,0,,,0.0,neutral
@georgewillaimotim-nape9404,Me😊😊,1 year ago,0,me,,0.0,neutral
@ErmiyasHadush-tm7cc,Me 😂,1 year ago,0,me,,0.0,neutral
@dmvdemba2999,me🐰,1 year ago,2,me,,0.0,neutral
@masterized_Lightening12,Me,1 year ago,0,me,,0.0,neutral
@salmonaukleya5490,😂here,1 year ago,0,here,,0.0,neutral
@smg9-1k,Me,1 year ago,0,me,,0.0,neutral
@kamarafoday6516,Me,1 year ago,0,me,,0.0,neutral
@mythic749,me 😭😭,1 year ago,0,me,,0.0,neutral
@princegwaaza7669,Lol,1 year ago,0,lol,lol,0.8,positive
@TinoMtde,me,1 year ago,0,me,,0.0,neutral
@Yourfavrobloxcontentcreatorr,August 27th anyone,1 year ago,0,august 27th anyone,august 27th anyone,0.0,neutral
@FatmataDumbuya-d5d,Me oo,1 year ago,0,me oo,oo,0.0,neutral
@FatmataDumbuya-d5d,Me oh,1 year ago,0,me oh,oh,0.0,neutral
@IgeteUtetiwabo,Me🙋‍♂️,1 year ago,1,me,,0.0,neutral
@IgeteUtetiwabo,I’m in 2024🙋‍♂️,1 year ago,1,i m in 2024,2024,0.0,neutral
@Randomnexz,Bro is that desparate for attention,1 year ago,0,bro is that desparate for attention,bro desparate attention,0.0,neutral
@VanessaBlackett-jy7cd,Me😂,1 year ago,0,me,,0.0,neutral
@OnlyRandi,I'm definitely here 🎉🎉🎉,1 year ago,0,i'm definitely here,definitely,0.0,neutral
@LakielMoodie,Hi,1 year ago,0,hi,hi,0.0,neutral
@GemZees,Me,1 year ago,0,me,,0.0,neutral
@foundation6294,Shu,11 months ago,0,shu,shu,0.0,neutral
@Papichulo23-z2l,Me,11 months ago,0,me,,0.0,neutral
@YourboyRyanz,Me,10 months ago,0,me,,0.0,neutral
@DivinaLumbri,Me❤,10 months ago,0,me,,0.0,neutral
@thendralthennavan7700,Dec 2024 revisit this,10 months ago,0,dec 2024 revisit this,dec 2024 revisit,0.0,neutral
@Ali-l7k5k,Me,10 months ago,0,me,,0.0,neutral
@ChinoKazuya,lol,10 months ago,0,lol,lol,0.8,positive
@tomianjarrett8440,Me,10 months ago,0,me,,0.0,neutral
@Blessed-Infinitely,Not me. 2025!!,10 months ago,1,not me 2025,2025,0.0,neutral
@SORBET_COOKIE_GAMING, @Blessed-Infinitely me too,9 months ago,1,blessed infinitely me too,blessed infinitely,0.0,neutral
@Rosie-n2x,Happy new year🎉,9 months ago,1,happy new year,happy new year,0.4681818181818182,positive
@NuradinAbdullahi-w1s,2025**,9 months ago,0,2025,2025,0.0,neutral
@zarahchenge2893,Not me I'm in 2025,9 months ago,0,not me i'm in 2025,2025,0.0,neutral
@Darkdgamerz,2025 bro😂,9 months ago,0,2025 bro,2025 bro,0.0,neutral
@K_jezy13,Imagine Ojo in one of these videos 😂,1 year ago,1,imagine ojo in one of these videos,imagine ojo one videos,0.0,neutral
@jojomatike2469,2024,1 year ago,1,2024,2024,0.0,neutral
@albertinehanhele3953,Anyone here in 2024,1 year ago,1,anyone here in 2024,anyone 2024,0.0,neutral
@Zaricute,Emanuela you're good at these  plans 😂😂❤❤,1 year ago,1,emanuela you're good at these plans,emanuela good plans,0.7,positive
@Zaricute,😂😂😂 uncle  denilson  your  really  mad,1 year ago,1,uncle denilson your really mad,uncle denilson really mad,-0.625,negative
@Ibyg-h7r,The fact denilson  said the n word 😂,1 year ago,0,the fact denilson said the n word,fact denilson said word,0.0,neutral
@fatherdavid7498,So funny even in 2023,1 year ago,0,so funny even in 2023,funny even 2023,0.25,positive
@reubendaka1999,2023 still watching . Denise was one of the funniest guy in mark angel comedy now u can't see him in there videos 😢😢,1 year ago,0,2023 still watching denise was one of the funniest guy in mark angel comedy now u can't see him in there videos,2023 still watching denise one funniest guy mark angel comedy can't see videos,0.0,neutral
@AtwineKingsley,Anyone here in 2024,1 year ago,0,anyone here in 2024,anyone 2024,0.0,neutral
@husseinamane2702,Trump is not going back,1 year ago,0,trump is not going back,trump going back,0.0,neutral
@MsAfricanamerican,J,1 year ago,0,j,,0.0,neutral
@MohamedHashiaxmed,Can ask you questions,1 year ago,1,can ask you questions,ask questions,0.0,neutral
@johnwisdom6131,anyone in 2023😂😂,1 year ago,0,anyone in 2023,anyone 2023,0.0,neutral
@Rosezplayz88,He says the n word 😮,1 year ago,2,he says the n word,says word,0.0,neutral
@dignaherman4825,Anyone here in 2023❤,1 year ago,1,anyone here in 2023,anyone 2023,0.0,neutral
@muntas2660,TRUMP IN 2024👹👹👹👹👹👺👺👺👺👺👺,1 year ago,0,trump in 2024,trump 2024,0.0,neutral
@hamprebugoydeguzman7523,2023 and still watching,1 year ago,0,2023 and still watching,2023 still watching,0.0,neutral
@ahmedalipogba3603,2024😂 any one,1 year ago,0,2024 any one,2024 one,0.0,neutral
@ariellemamangon375,2023 THIS IS TRUMP! 😂😂😂,1 year ago (edited),0,2023 this is trump,2023 trump,0.0,neutral
@langwanyahlatshwako8663,Shu.... man😂😂😂😂😂😂😂 what's wrong with Africa shu😂😂😂,1 year ago,1,shu man what's wrong with africa shu,shu man what's wrong africa shu,-0.5,negative
@Derek_Antonio,🙌🏼,1 year ago,0,,,0.0,neutral
@mxrcymemes,😅i just realized now,1 year ago,0,i just realized now,realized,0.0,neutral
@ellavlogs6531,He has his own channel now!,1 year ago,0,he has his own channel now,channel,0.6,positive
@MohamedHashiaxmed,Can ask you questions,1 year ago,0,can ask you questions,ask questions,0.0,neutral
@agnes_klay, @MohamedHashiaxmed yes u can ask 😮,1 year ago (edited),0,mohamedhashiaxmed yes u can ask,mohamedhashiaxmed yes ask,0.0,neutral
@deyx.1,Nope,1 year ago,0,nope,nope,0.0,neutral
@muntas2660,Same,1 year ago,0,same,,0.0,neutral
@muntas2660,Nope in November 2023😑 Yyeyyeyeyessss,1 year ago,0,nope in november 2023 yyeyyeyeyessss,nope november 2023 yyeyyeyeyessss,0.0,neutral
@Afodis,2023 ?,1 year ago,0,2023,2023,0.0,neutral
@rgvanrooyen1277,Bdjfiorif8f8fiifoeirrooritititittiit,2 years ago,0,bdjfiorif8f8fiifoeirrooritititittiit,bdjfiorif8f8fiifoeirrooritititittiit,0.0,neutral
@Bestmia142,2023,2 years ago,1,2023,2023,0.0,neutral
@Suboytheinternational7,When anybody try dat wit me i'm gonna call the p-o p-o that line killed me😂😂😂😂😂😂😂😂😂😂,2 years ago (edited),0,when anybody try dat wit me i'm gonna call the p o p o that line killed me,anybody try dat wit gonna call line killed,-0.2,negative
@davidralte4052,Still watch in 2023,2 years ago,0,still watch in 2023,still watch 2023,0.0,neutral
@abosedeajayi8308,This comedy is very interesting😂😂,2 years ago,0,this comedy is very interesting,comedy interesting,0.65,positive
@deltouinecatwell,Is any here from 2023✋ and bro just say nigga,2 years ago,0,is any here from 2023 and bro just say nigga,2023 bro say nigga,0.0,neutral
@princeodame43,Anyone here in 2023😂🙏🏿✋✋,2 years ago,0,anyone here in 2023,anyone 2023,0.0,neutral
@luv4_likha,Anyone here in 2023🙌🖐😂,2 years ago,1,anyone here in 2023,anyone 2023,0.0,neutral
@hanav1607,2023,2 years ago,0,2023,2023,0.0,neutral
@Dodo_an06,2023 here.....❤❤,2 years ago,0,2023 here,2023,0.0,neutral
@adijongzadijongz7769,Anyone here in 2023😂,2 years ago,0,anyone here in 2023,anyone 2023,0.0,neutral
@claytonthomas7,2023😂,2 years ago,0,2023,2023,0.0,neutral
@prettydon-b7w,The way Emanuela was  lau,2 years ago,0,the way emanuela was lau,way emanuela lau,0.0,neutral
@lesegomogale7808,Anyone here in 2023😂,2 years ago,3,anyone here in 2023,anyone 2023,0.0,neutral
@Gamesonly-k8i,Vote for Donald Trump! US,2 years ago,0,vote for donald trump us,vote donald trump us,0.0,neutral
@DiegoCarillo-q4y,He said the n word,2 years ago,0,he said the n word,said word,0.0,neutral
@anangcartertv4202,Who is still here 2023,2 years ago,2,who is still here 2023,still 2023,0.0,neutral
@veralimbuwa8883,😂😂😂😂😂😂,2 years ago,0,,,0.0,neutral
@nashiyeshuuya9849,"why
why
y",2 years ago,0,why why y,,0.0,neutral
@nashiyeshuuya9849,did you say nigga,2 years ago,0,did you say nigga,say nigga,0.0,neutral
@malixolemdutyana7733,"In South Africa, we still watch it even in 2023😂😂😂",2 years ago,13,in south africa we still watch it even in 2023,south africa still watch even 2023,0.0,neutral
@LeslieIteire,😂😂😂😂😂😂😂😂🇳🇬,2 years ago,0,,,0.0,neutral
@JustAbacongirll,0:23  o my Niga mark,2 years ago,1,0 23 o my niga mark,23 niga mark,0.0,neutral
@princeandalialuke74,Back in 2024.!!,2 years ago,1,back in 2024,back 2024,0.0,neutral
@peteralmasi6185,Anyone there in 2023?? I really miss denilson 😢😢,2 years ago,0,anyone there in 2023 i really miss denilson,anyone 2023 really miss denilson,0.2,positive
@JorjaSmith-h5p,Everyone here 2023😂,2 years ago,1,everyone here 2023,everyone 2023,0.0,neutral
@Arcistagocrazy,I have been watching this comedy ever since I was 5 now I’m 11 time goes so fast😢😢😢,2 years ago,3,i have been watching this comedy ever since i was 5 now i m 11 time goes so fast,watching comedy ever since 11 time goes fast,0.2,positive
@riothegenuis6278,😂😂 omooo,2 years ago,1,omooo,omooo,0.0,neutral
@henryuzoho3193,This.   Is.   2023.     The.   New.   Year😂😂❤,2 years ago,2,this is 2023 the new year,2023 new year,0.13636363636363635,positive
@tmansbanda1420,😂😂😂who is here 2023,2 years ago,1,who is here 2023,2023,0.0,neutral
@njakwamwandila3644,Am here 2023😂🤣🤣🤣,2 years ago,2,am here 2023,2023,0.0,neutral
@daviajennings8131,It's 2023,2 years ago,2,it's 2023,2023,0.0,neutral
@francaozojiofor2835,😂😂😂😂😂😂😂😂😂😂😂😂,2 years ago,0,,,0.0,neutral
@looloos4232,Who is watching in 2023,2 years ago,1,who is watching in 2023,watching 2023,0.0,neutral
@athidlamini,"Mark man, okay asiyiyeke lento ka man",2 years ago,0,mark man okay asiyiyeke lento ka man,mark man okay asiyiyeke lento ka man,0.5,positive
@motosmooth,Illinois state tax is more on ur old 🗝️🗝️🗝️🗝️🗝️🗝️🗝️🗝️🗝️ I wasn't,2 years ago,0,illinois state tax is more on ur old i wasn't,illinois state tax ur old,0.3,positive
@Aesthetics-b9,Anyone in 2023,2 years ago,0,anyone in 2023,anyone 2023,0.0,neutral
@godswillessien2212,See the way Denilson look like Albino 😅😅,2 years ago,1,see the way denilson look like albino,see way denilson look like albino,0.0,neutral
@kennedysiwadawada3757,"Denison should come back to Mark Angel Comedy serious, we need him back serious, Please Mark you guys should puts your things aside 🙏🙏🙏🙏",2 years ago,0,denison should come back to mark angel comedy serious we need him back serious please mark you guys should puts your things aside,denison come back mark angel comedy serious need back serious please mark guys puts things aside,-0.16666666666666666,negative
@GYRO_WRAITH,Any one in 2023,2 years ago,0,any one in 2023,one 2023,0.0,neutral
@grantyoung7246,Unkle denison. Oh my nikka mark. 😅😊😂😂this is trump yo. Haha.❤❤u all,2 years ago,0,unkle denison oh my nikka mark this is trump yo haha u all,unkle denison oh nikka mark trump yo haha,0.2,positive
@Eylanidris,🤣🤣🤣😂🤣😂😂😂😂😅🤣🤣🤣,2 years ago,0,,,0.0,neutral
@edneljrpierre6321,"Donald Trump hair be like
😂",2 years ago,0,donald trump hair be like,donald trump hair like,0.0,neutral
@elastusmuhwezi5429,2023 and am still here😊,2 years ago,0,2023 and am still here,2023 still,0.0,neutral
@letkopoichannal9280,run oh  i like this words 🤣these guys are funny,2 years ago,0,run oh i like this words these guys are funny,run oh like words guys funny,0.25,positive
@willsonwills9172,Anyone here on 2023?🤣,2 years ago,1,anyone here on 2023,anyone 2023,0.0,neutral
@lesleykinz4802,This is the tenth time that I'm watching this one again .❤ from Papua New Guinea 🇵🇬🇵🇬🇵🇬,2 years ago,0,this is the tenth time that i'm watching this one again from papua new guinea,tenth time watching one papua new guinea,0.13636363636363635,positive
@PhelistusNyongesa,Mark you will kill me with laughter abeg ah ah😅😅,2 years ago,0,mark you will kill me with laughter abeg ah ah,mark kill laughter abeg ah ah,0.0,neutral
@annosa3343,2023 anyone?,2 years ago,0,2023 anyone,2023 anyone,0.0,neutral
@thatgirlrach2012,Who here 2023 ✋😂😂😂😂🤣🤣 you can miss this ep so funny 🤣🤣,2 years ago,1,who here 2023 you can miss this ep so funny,2023 miss ep funny,0.25,positive
@VoiceOfThe_streets,Anyone here in 2023?😂,2 years ago,3,anyone here in 2023,anyone 2023,0.0,neutral
@alfaranjanbiswal1994,Anyone here in 2023 ?????,2 years ago,4,anyone here in 2023,anyone 2023,0.0,neutral
@MoyaMiller,Anyone here in 2023😂😂😂😂,2 years ago,2,anyone here in 2023,anyone 2023,0.0,neutral
@Fidem-y1h,2023 anyone??,2 years ago,2,2023 anyone,2023 anyone,0.0,neutral
@mariamossang7132,😂😂😂,2 years ago,1,,,0.0,neutral
@RiyadhHabab-b5e,Anyone here in 2023😂❤,2 years ago,2,anyone here in 2023,anyone 2023,0.0,neutral
@sedinamchormey1927,I don't like the new Denilson 😕 😒 😐 😑 🙄 😪 😕 😒 😐  😕,2 years ago (edited),1,i don't like the new denilson,like new denilson,0.13636363636363635,positive
@itoldyoui8,"Anyone here in 2023?
👇",2 years ago,4,anyone here in 2023,anyone 2023,0.0,neutral
@cherrycherry373,2023🎉😂,2 years ago,3,2023,2023,0.0,neutral
@Imfinnabuuusssttt,2023 FOR LIFE!!!!!!!!,2 years ago,0,2023 for life,2023 life,0.0,neutral
@ST4RSII,Heree,2 years ago,0,heree,heree,0.0,neutral
@itoldyoui8, @ST4RSII  perfect,2 years ago (edited),0,st4rsii perfect,st4rsii perfect,1.0,positive
